venue,signal_type,aliases
Thurloe Square,UK,THURLOE SQUARE
Onslow Square,UK,ONSLOW SQUARE;ONSLOW GARDENS
Notting Hill,UK,NOTTING HILL
Hampstead,UK,HAMPSTEAD
St John's Wood,UK,ST JOHNS WOOD
Hamilton Terrace,UK,HAMILTON TERRACE
Primrose Hill,UK,PRIMROSE HILL
Marylebone,UK,MARYLEBONE
Cumberland Terrace,UK,CUMBERLAND TERRACE
Chester Terrace,UK,CHESTER TERRACE
Hanover Terrace,UK,HANOVER TERRACE
Heriot Row,UK,HERIOT ROW
Moray Place,UK,MORAY PLACE
Ainslie Place,UK,AINSLIE PLACE
Great Stuart Street,UK,GREAT STUART STREET
Drummond Place,UK,DRUMMOND PLACE
St George's Hill,UK,ST GEORGES HILL
Wentworth Estate,UK,WENTWORTH ESTATE
Virginia Water,UK,VIRGINIA WATER

# --- More global UHNW residential enclaves ---
Sentosa Cove,Singapore,SENTOSA COVE
Nassim Road,Singapore,NASSIM ROAD
Cluny Road,Singapore,CLUNY ROAD
Mount Nicholson,Hong Kong,MOUNT NICHOLSON
Pacific Heights,USA,PACIFIC HEIGHTS

# --- South Africa ---
Bishopscourt,South Africa,BISHOPSCOURT
Bantry Bay,South Africa,BANTRY BAY
Camps Bay,South Africa,CAMPS BAY
Clifton,South Africa,CLIFTON
Fresnaye,South Africa,FRESNAYE
Higgovale,South Africa,HIGGOVALE
Oranjezicht,South Africa,ORANJEZICHT
Constantia,South Africa,CONSTANTIA
Hout Bay,South Africa,HOUT BAY
Sandhurst,South Africa,SANDHURST
Sandton,South Africa,SANDTON
Houghton Estate,South Africa,HOUGHTON ESTATE
Bryanston,South Africa,BRYANSTON
Saxonwold,South Africa,SAXONWOLD
Dainfern,South Africa,DAINFERN
Steyn City,South Africa,STEYN CITY
Zimbali,South Africa,ZIMBALI
Umhlanga,South Africa,UMHLANGA
Franschhoek,South Africa,FRANSCHHOEK
Plettenberg Bay,South Africa,PLETTENBERG BAY
# --- Italy (Milan) ---
Via Montenapoleone,Italy,VIA MONTENAPOLEONE;MONTENAPOLEONE
Via della Spiga,Italy,VIA DELLA SPIGA
Via Sant'Andrea,Italy,VIA SANT ANDREA
Via Borgospesso,Italy,VIA BORGOSPESSO
Via Gesu,Italy,VIA GESU
Brera,Italy,BRERA
CityLife,Italy,CITYLIFE;CITY LIFE MILANO
Quadrilatero della Moda,Italy,QUADRILATERO DELLA MODA
# (Saudi Arabia prime districts moved to gulf_prime_districts.csv — gated, see above.)
# --- Lebanon ---
Achrafieh,Lebanon,ACHRAFIEH;ASHRAFIEH
Beirut Central District,Lebanon,SOLIDERE;BEIRUT CENTRAL DISTRICT
Saifi Village,Lebanon,SAIFI
Rabieh,Lebanon,RABIEH
Yarze,Lebanon,YARZE
Gemmayzeh,Lebanon,GEMMAYZEH
Ramlet al-Baida,Lebanon,RAMLET AL BAIDA
Faqra,Lebanon,FAQRA
# --- Ibiza ---
Es Cubells,Spain,ES CUBELLS
Cala Jondal,Spain,CALA JONDAL
Roca Llisa,Spain,ROCA LLISA
Talamanca,Spain,TALAMANCA
Can Furnet,Spain,CAN FURNET
Cap Martinet,Spain,CAP MARTINET
Marina Botafoch,Spain,MARINA BOTAFOCH;BOTAFOC
Porroig,Spain,PORROIG
# --- Saint-Barthelemy ---
Gustavia,Saint Barthelemy,GUSTAVIA
Gouverneur,Saint Barthelemy,GOUVERNEUR
Pointe Milou,Saint Barthelemy,POINTE MILOU
Lurin,Saint Barthelemy,LURIN
Flamands,Saint Barthelemy,FLAMANDS
Petit Cul-de-Sac,Saint Barthelemy,PETIT CUL DE SAC
Grand Cul-de-Sac,Saint Barthelemy,GRAND CUL DE SAC
Toiny,Saint Barthelemy,TOINY
# --- Mykonos ---
Psarou,Greece,PSAROU
Aleomandra,Greece,ALEOMANDRA
Tourlos,Greece,TOURLOS
Ornos,Greece,ORNOS
Kanalia,Greece,KANALIA
Panormos,Greece,PANORMOS
Houlakia,Greece,HOULAKIA
Agios Lavrentis,Greece,AGIOS LAVRENTIS
# --- Maldives (private-island resorts / atolls) ---
Baa Atoll,Maldives,BAA ATOLL
North Male Atoll,Maldives,NORTH MALE ATOLL
Noonu Atoll,Maldives,NOONU ATOLL
Kunfunadhoo,Maldives,KUNFUNADHOO
Landaa Giraavaru,Maldives,LANDAA GIRAAVARU

# --- Canada (FSAs are alphanumeric -> matched by NAME, not postcode) ---
Forest Hill,Canada,FOREST HILL
Lawrence Park,Canada,LAWRENCE PARK
Rosedale Toronto,Canada,ROSEDALE
Yorkville Toronto,Canada,YORKVILLE
The Bridle Path,Canada,BRIDLE PATH
Shaughnessy,Canada,SHAUGHNESSY
West Point Grey,Canada,WEST POINT GREY
West Vancouver,Canada,WEST VANCOUVER
Rockcliffe Park,Canada,ROCKCLIFFE PARK
Westmount,Canada,WESTMOUNT
# --- Australia (area-name backup for the postcodes above) ---
Point Piper,Australia,POINT PIPER
Toorak,Australia,TOORAK
Vaucluse,Australia,VAUCLUSE
Bellevue Hill,Australia,BELLEVUE HILL
Peppermint Grove,Australia,PEPPERMINT GROVE
Double Bay,Australia,DOUBLE BAY
